ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1449,KARTAL,Türk Red Crescentý Marmara Bölge Afet Yönetim Müdürlügü,Red Crescent,Ferah Sk. No: ESENTEPE/KARTAL,0216 517 08 00,www.afetyonetimi.kizilay.org.tr,,,Yok,ESENTEPE,40.90800743,29.18972396
1708,ÜSKÜDAR,Private Üsküdar Anadolu Hospitalsi,Private Hospital,Halk Cad. No:8 AZÝZ MAHMUT HÜDAYÝ/ÜSKÜDAR,0216 341 88 88 - 0541 660 04 14,www.uah.com.tr,Var,20,Var,AZÝZ MAHMUT HÜDAYÝ,41.02144526,29.01583249
1327,FATÝH,Ýstanbul Üniversitesi Týp Fakültesi Dermatoloji Anabilim Dalý,Policlinic,Turgut Özal Millet Cad. No:118C TOPKAPI/FATÝH,0212 414 20 00,http://istanbultip.istanbul.edu.tr,Yok,19,,TOPKAPI,41.01642915,28.93266195
1327,FATÝH,Fatih 12 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kocasinan Cad. No:88 HIRKA-Ý ÞERÝF/FATÝH,0212 621 41 01,,Yok,0,,HIRKA-Ý ÞERÝF,41.01984806,28.94001176
1186,BEYOÐLU,Private Öztürk Protez Ortez Uygulama Merkezi,Protez-Ortez Yapým ve Uygulama Merkezi Private,Kalyoncu Kulluðu Cad. No:23 KALYONCU KULLUÐU/BEYOÐLU,0212 255 47 58 - 0536 850 60 31,www.ozturkortopedi.com,,,,KALYONCU KULLUÐU,41.03678441,28.97689968
2005,BAHÇELÝEVLER,Diþ Hekimi Hakan Gürsoy,Clinic,Mimar Sinan Cad. No:109 CUMHURÝYET/BAHÇELÝEVLER,0212 435 80 23,,,,,CUMHURÝYET,41.01456,28.857394
2003,AVCILAR,Private Umut Týbbi Tahlil Laboratuvarý,Laboratuvar Private,Reþit Paþa Cad. No:45 MERKEZ/AVCILAR,0212 593 53 23,www.umutlab.com,,,,MERKEZ,40.97941396,28.72353541
2005,BAHÇELÝEVLER,Diþ Hekimi Gülsüm Özsaðdýç,Clinic,Mustafa Kemalpaþa Cad. No:2 SÝYAVUÞPAÞA/BAHÇELÝEVLER,0212 556 12 85,,,,,SÝYAVUÞPAÞA,41.004363,28.85252371
1663,ÞÝÞLÝ,Private Açýk Emar Görüntüleme Merkezi,Görüntüleme Merkezi Private,Abdi Ýpekçi Cad. No:40 HARBÝYE/ÞÝÞLÝ,0212 234 58 89,,,,,HARBÝYE,41.04841576,28.99280677
1604,SARIYER,Diþ Hekimi Hamit Þevket Ýnce,Clinic,Kekik Sk. No:13 MERKEZ/SARIYER,0212 242 33 98,,,,,SARIYER MERKEZ,41.16953285,29.0559198
1663,ÞÝÞLÝ,Private MediLab Laboratuvarý,Laboratuvar Private,Büyükdere Cad. No:1 19 MAYIS/ÞÝÞLÝ,0212 296 12 96,www.medilab.com.tr,,,,19 MAYIS,41.0619376,28.98910399
1183,BEÞÝKTAÞ,Private Estethica Levent Hospitalsi,Private Hospital,Yenisülün Sk. No:13 LEVENT/BEÞÝKTAÞ,0212 371 45 60,www.estethica.com.tr,Var,0,Yok,LEVENT,41.08606814,29.01786073
1183,BEÞÝKTAÞ,Adnan Ezen Optik,Optik,Ortabahçe Cad. No:42 SÝNANPAÞA/BEÞÝKTAÞ,0212 261 73 65,,,,,SÝNANPAÞA,41.04346723,29.00381389
1336,GAZÝOSMANPAÞA,Yücel Optik,Optik,Cumhuriyet Meydaný No:10 MERKEZ/GAZÝOSMANPAÞA,0212 545 06 65,,,,,MERKEZ,41.05890783,28.91314774
1336,GAZÝOSMANPAÞA,Akay Optik,Optik,759. Sk. No:4I FEVZÝ ÇAKMAK/GAZÝOSMANPAÞA,0212 649 27 07,,,,,FEVZÝ ÇAKMAK,41.07311761,28.90306795
1336,GAZÝOSMANPAÞA,Gaziosmanpaþa Taksim Eðitim ve Araþtýrma Hospitalsi Aliya Ýzzetbegoviç Semt Polikliniði,Policlinic,Salihpaþa Cad. No:40-42B MERKEZ/GAZÝOSMANPAÞA,0212 252 63 00,www.taksimHospitalsi.gov.tr,Yok,0,,MERKEZ,41.05625857,28.91223575
1823,KÜÇÜKÇEKMECE,Küçükçekmece 3 Nolu Emergency Station,Emergency Station,Hakan Cad. No:44 ÝNÖNÜ/KÜÇÜKÇEKMECE,0212 548 77 82,www.istanbulsaglik.gov.tr,Yok,3,Var,ÝNÖNÜ,41.02600322,28.79732541
1708,ÜSKÜDAR,Ýstanbul Sultan Abdülhamid Eðitim ve Araþtýrma Hospitalsi Diyaliz Merkezi ve Periton Merkezi,Diyaliz Merkezi,Burhan Felek Cad. No:20 SELÝMÝYE/ÜSKÜDAR,0216 542 20 20,www.gata.edu.tr,Var,,Var,SELÝMÝYE,41.0019661,29.02002006
1708,ÜSKÜDAR,Mehmet Orhan Erdað Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Yurtsever Sk. No:4 BULGURLU/ÜSKÜDAR,0216 505 99 30,,Yok,0,,BULGURLU,41.02164463,29.08057569
1708,ÜSKÜDAR,Dr. Siyami Ersek Göðüs ve Kalp Damar Cerrahisi Eðitim ve Araþtýrma Hospitalsi,Research Hospital,Týbbiye Cad. No:25/2 SELÝMÝYE/ÜSKÜDAR,0216 542 44 44,www.siyamiersek.gov.tr,Var,464,Yok,SELÝMÝYE,41.00379664,29.02341119
1421,KADIKÖY,Private Unimed Polikliniði,Policlinic Private,Baðdat Cad. No:2 CADDEBOSTAN/KADIKÖY,0216 359 12 01,www.unimed.gen.tr,Yok,0,,CADDEBOSTAN,40.96957163,29.06419684
1183,BEÞÝKTAÞ,Ada Veteriner Kliniði,Veteriner,Sülün Sk. No:14 LEVENT/BEÞÝKTAÞ,0212 324 67 32 - 33,www.adaveteriner.com,,0,Yok,LEVENT,41.07735657,29.01949271
